id,value,feed_id,created_at,lat,lon,ele
0FVWN050GZ5C87HSE463S4A32H,116.860344,3064050,2025-04-20 02:21:33 UTC,,,
0FVWN410NV0Q29X4CYRPCM7EF6,-47.890633,3064050,2025-04-20 02:28:19 UTC,,,
0FVWN49XKB51WD6A61RYDHKTBK,-47.934570,3064050,2025-04-20 02:28:48 UTC,,,
0FVWN4AK6BSN9ZXFJQQTY5E6JA,-47.890633,3064050,2025-04-20 02:28:50 UTC,,,
0FVWN4BAE1WS5Q9J29Y6DZSWC3,-47.934570,3064050,2025-04-20 02:28:53 UTC,,,
0FVWN4BNH0XFEXB9WJ9KGQQSVE,-47.890633,3064050,2025-04-20 02:28:54 UTC,,,
0FVWN4BZNANP679M9PM1ZMNM2Q,-47.934570,3064050,2025-04-20 02:28:55 UTC,,,
0FVWN4C9Z6QAYHSKC0YKJEX6KG,-47.934570,3064050,2025-04-20 02:28:56 UTC,,,
0FVWN4CMDRWXR96VY65B76J1JQ,-47.934570,3064050,2025-04-20 02:28:57 UTC,,,
0FVWN4G0PNSGS91AHAQ4F8SQK8,-47.978516,3064050,2025-04-20 02:29:08 UTC,,,
0FVWN4GW61K7KGDDM47DZ162NX,-47.890633,3064050,2025-04-20 02:29:11 UTC,,,
0FVWN4H7N0CTG5CSZE4QGSAP4Y,-47.890633,3064050,2025-04-20 02:29:12 UTC,,,
0FVWN4K9ZM481X9Z40PFMPQAAA,118.837883,3064050,2025-04-20 02:29:19 UTC,,,
0FVWN685X5700SDXKDXT5TWZ9N,-47.978516,3064050,2025-04-20 02:32:12 UTC,,,
0FVWN7AREP8844ERA1Q82BKX24,28.925777,3064050,2025-04-20 02:34:05 UTC,,,
0FVWN7DAK24GFDTS4APM0CEBAC,27.387691,3064050,2025-04-20 02:34:14 UTC,,,
0FVWPZSECFE59Z6ZRVM5X7QZDV,24.443357,3064050,2025-04-20 04:12:46 UTC,,,
0FVWQ220N5KJMJ2ZG0YFFKSJX7,24.882811,3064050,2025-04-20 04:16:43 UTC,,,
0FVWQ23CGMBJGWYYKJMC63S97V,24.970699,3064050,2025-04-20 04:16:48 UTC,,,
0FVWQ26RSD1912MA2WH6QX36ZW,24.970699,3064050,2025-04-20 04:16:59 UTC,,,
0FVWQ332M3RPP7S6F6KC7Z3JKN,25.102537,3064050,2025-04-20 04:18:32 UTC,,,
0FVWQ349HNZ9XKKN93H2YGJXYW,25.102537,3064050,2025-04-20 04:18:36 UTC,,,
0FVWQ34Q4C1VQRFEHA78B04E8A,25.146484,3064050,2025-04-20 04:18:37 UTC,,,
0FVWQ35YQ1VVEN1W8TZT9W1Q56,25.146484,3064050,2025-04-20 04:18:41 UTC,,,
0FVWQEB6DMC38DRZWB30TXEDBC,24.663084,3064050,2025-04-20 04:38:12 UTC,,,
0FVWQEWAGF5WMBDH3R6A9GJ3G0,24.882811,3064050,2025-04-20 04:39:08 UTC,,,
0FVWQEY0NQKDZ6D22JN8GXXT2Y,26.948238,3064050,2025-04-20 04:39:13 UTC,,,
0FVWQEYFA4TX3YBN5ZYF73E8J1,28.310543,3064050,2025-04-20 04:39:15 UTC,,,
0FVWQEYTBBK41M7SFZCTCPD9F6,29.013670,3064050,2025-04-20 04:39:16 UTC,,,
0FVWQEZ6WRQTYQ8T2M4WXEW4Z1,29.672850,3064050,2025-04-20 04:39:17 UTC,,,
0FVWQEZN4GFH35C2ZMPZ9KK90G,30.200195,3064050,2025-04-20 04:39:19 UTC,,,
0FVWQF0QCRKFA0T7S2YKX2HN22,29.584957,3064050,2025-04-20 04:39:22 UTC,,,
0FVX9GXRBXZY5QRVNDCXV3CXJC,28.046871,3064050,2025-04-20 21:29:20 UTC,,,
0FVX9H2A942SR9J69SFH9RMGKK,31.254883,3064050,2025-04-20 21:29:35 UTC,,,
0FVX9HMT7XS4Z8XKHX0NHRZ3QJ,27.827145,3064050,2025-04-20 21:30:36 UTC,,,
0FVX9HRAC31VDV2HSSGD4XTH7T,31.254883,3064050,2025-04-20 21:30:47 UTC,,,
0FVX9HYP988XSR64FKZE3GH4E8,28.486324,3064050,2025-04-20 21:31:08 UTC,,,
0FVX9KFC8PR3HBNV06AZG7S0VV,28.398436,3064050,2025-04-20 21:33:48 UTC,,,
0FVX9KXH2EKJXR67Z8G6SWY1WV,30.815430,3064050,2025-04-20 21:34:34 UTC,,,
